id,identificacion,nombres,apellidos,telefono,edad,fecha_nacimiento,estado_civil,identificacion_conyugue,nombre_conyugue,sujeto_credito
1,1000293,santiago,lozano,33445,22,2001-01-25,casado,665566,camila,no
2,1340293,santiago,garcia,33445,22,2001-01-25,casado,665566,sandra,no
3,1560293,santiago,perez,33445,22,2001-01-16,casado,665566,patricia,no
4,1660293,camila,lozano,33445,22,2001-01-15,casado,665566,valentina,no
5,3444293,ana,lopez,33445,22,2001-01-16,casado,665566,anggie,no
6,6666793,migule,santos,33445,22,2001-01-10,casado,665566,nubia,si
7,7888893,camilo,perez,33445,22,2001-01-10,soltero,null,null,si
8,9900293,nicolas,murcia,33445,22,2001-01-10,soltero,null,null,si
9,7700293,nicolas,lozano,33445,22,2001-01-10,soltero,null,null,si
10,3400293,hilda,murcia,33445,22,2001-01-10,soltero,null,null,si
11,6000293,educardo,lozano,33445,22,2001-01-10,soltero,null,null,si
12,8700293,miriam,cortes,33445,22,2001-01-16,soltero,null,null,si
13,4500293,jasson,cortes,33445,22,2001-01-10,soltero,null,null,si
14,5400293,andres,cortes,33445,22,2001-01-10,soltero,null,null,si
15,2300293,valentina,aldana,33445,22,2001-01-16,soltero,null,null,si
16,1000245,julio,aldana,33445,22,2001-01-20,soltero,null,null,si
17,1000256,jessica,aldana,33445,22,2001-01-20,soltero,null,null,si
18,1000276,david,garcia,33445,22,2001-01-20,soltero,null,null,si
19,1000234,oscar,fuentes,33445,22,2001-01-20,soltero,null,null,si
20,1000245,anggie,fuentes,33445,22,2001-01-20,soltero,null,null,si
