id,identificacion,nombres,apellidos,direccion,telefono,celular,patio,edad
1,1000293,santiago,lozano murcia,Mz7 Cs5,33445,312543455,1,30
2,1340293,santiago,garcia,Mz7 Cs5,33445,312543455,1,21
3,1560293,santiago,perez,Mz7 Cs5,33445,312543455,2,13
4,1660293,camila,lozano,Mz7 Cs5,33445,312543455,1,20
5,3444293,ana,lopez,Mz7 Cs5,33445,312543455,3,22
6,6666793,migule,santos,Mz7 Cs5,33445,312543455,1,22
7,7888893,camilo,perez,Mz7 Cs5,33445,312543455,1,25
8,9900293,nicolas,murcia,Mz7 Cs5,33445,312543455,2,22
9,7700293,nicolas,lozano,Mz7 Cs5,33445,312543455,1,23
10,3400293,hilda,murcia,Mz7 Cs5,33445,312543455,2,26
11,6000293,educardo,lozano,Mz7 Cs5,33445,312543455,3,27
12,8700293,miriam,cortes,Mz7 Cs5,33445,312543455,3,28
13,4500293,jasson,cortes,Mz7 Cs5,33445,312543455,3,29
14,5400293,andres,cortes,Mz7 Cs5,33445,312543455,3,21
15,2300293,valentina,aldana,Mz7 Cs5,33445,312543455,2,20
16,1000245,julio,aldana,Mz7 Cs5,33445,312543455,2,32
17,1000256,jessica,aldana,Mz7 Cs5,33445,312543455,2,32
18,1000276,david,garcia,Mz7 Cs5,33445,312543455,2,42
19,1000234,oscar,fuentes,Mz7 Cs5,33445,312543455,1,52
20,1000245,anggie,fuentes,Mz7 Cs5,33445,312543455,1,62
21,1006793,nubia,perez,Mz7 Cs5,33445,312543455,1,22
